Name,Year,Id,Start Date,End Date
Chennai,2012,891,2012-12-31,2013-01-06
Chennai,2012,891,2012-01-02,2012-01-08
Chennai,2013,891,2013-12-30,2014-01-05
Chennai,2015,891,2015-01-05,2015-01-11
Chennai,2016,891,2016-01-04,2016-01-10
Chennai,2017,891,2017-01-02,2017-01-08
Cincinnati,2001,422,2001-08-06,2001-08-12
Cincinnati,2002,422,2002-08-05,2002-08-11
Cincinnati,2003,422,2003-08-11,2003-08-17
Cincinnati,2004,422,2004-08-02,2004-08-08
Cincinnati,2005,422,2005-08-15,2005-08-21
Cincinnati,2006,422,2006-08-14,2006-08-20
Cincinnati,2007,422,2007-08-13,2007-08-19
Cincinnati,2008,422,2008-07-28,2008-08-03
Cincinnati,2009,422,2009-08-16,2009-08-23
Cincinnati,2010,422,2010-08-15,2010-08-22
Cincinnati,2011,422,2011-08-14,2011-08-21
Cincinnati,2012,422,2012-08-12,2012-08-19
Cincinnati,2013,422,2013-08-11,2013-08-18
Cincinnati,2014,422,2014-08-10,2014-08-17
Cincinnati,2015,422,2015-08-16,2015-08-23
Cincinnati,2016,422,2016-08-14,2016-08-21
Cincinnati,2017,422,2017-08-13,2017-08-20
Cincinnati,2018,422,2018-08-12,2018-08-19
Cincinnati,2019,422,2019-08-11,2019-08-18
Cincinnati,2021,422,2021-08-15,2021-08-22
Cincinnati,2022,422,2022-08-14,2022-08-21
Cincinnati,2023,422,2023-08-13,2023-08-20
Cologne 1,2020,9404,2020-10-12,2020-10-18
Cologne 2,2020,9406,2020-10-19,2020-10-25
Copenhagen,2001,481,2001-02-12,2001-02-18
Copenhagen,2002,481,2002-02-11,2002-02-17
Copenhagen,2003,481,2003-02-24,2003-03-02
Cordoba,2019,9158,2019-02-04,2019-02-10
Cordoba,2020,9158,2020-02-03,2020-02-09
Cordoba,2021,9158,2021-02-22,2021-02-28
Cordoba,2022,9158,2022-01-31,2022-02-06
Cordoba,2023,9158,2023-02-06,2023-02-12
Costa Do Sauipe,2001,533,2001-09-10,2001-09-16
Costa Do Sauipe,2002,533,2002-09-09,2002-09-15
Costa Do Sauipe,2003,533,2003-09-08,2003-09-14
Costa Do Sauipe,2004,533,2004-02-23,2004-02-29
Costa Do Sauipe,2005,533,2005-02-14,2005-02-20
Costa Do Sauipe,2006,533,2006-02-20,2006-02-26
Costa Do Sauipe,2007,533,2007-02-12,2007-02-18
Costa Do Sauipe,2008,533,2008-02-11,2008-02-17
Costa Do Sauipe,2009,533,2009-02-09,2009-02-15
Costa Do Sauipe,2010,533,2010-02-08,2010-02-14
Costa Do Sauipe,2011,533,2011-02-07,2011-02-12
Dallas,2022,424,2022-02-07,2022-02-13
Dallas,2023,424,2023-02-06,2023-02-12
Davis Cup,2001,8099,2001-11-30,2001-12-02
Davis Cup,2002,8099,2002-11-29,2002-12-01
Davis Cup,2003,8099,2003-11-28,2003-11-30
Davis Cup,2004,8099,2004-12-03,2004-12-05
Davis Cup,2005,8099,2005-12-02,2005-12-04
Davis Cup,2006,8099,2006-12-01,2006-12-03
Davis Cup,2007,8099,2007-11-30,2007-12-02
Davis Cup,2008,8099,2008-11-21,2008-11-23
Davis Cup,2009,8099,2009-12-04,2009-12-06
Davis Cup,2010,8099,2010-12-03,2010-12-05
Davis Cup,2011,8099,2011-12-02,2011-12-04
Davis Cup,2012,8099,2012-11-16,2012-11-18
Davis Cup,2013,8099,2013-11-15,2013-11-17
Davis Cup,2014,8099,2014-11-21,2014-11-23
Davis Cup,2015,8099,2015-11-27,2015-11-29
Davis Cup,2016,8099,2016-11-25,2016-11-27
Davis Cup,2017,8099,2017-11-24,2017-11-26
Davis Cup,2018,8099,2018-11-19,2018-11-23
Davis Cup,2019,8099,2019-11-18,2019-11-24
Davis Cup Finals,2020,8099,2020-11-23,2020-11-29
Davis Cup Finals,2022,8099,2022-11-23,2022-11-27
Davis Cup Finals,2023,8099,2023-11-21,2023-11-26
Davis Cup Finals Group Stage,2022,8097,2022-09-13,2022-09-18
Davis Cup Finals Group Stage,2023,8097,2023-09-12,2023-09-17
Davis Cup First Round,2015,8096,2015-03-06,2015-03-08
Davis Cup First Round,2016,8096,2016-03-04,2016-03-06
Davis Cup First Round,2017,8096,2017-02-03,2017-02-05
Davis Cup First Round,2018,8096,2018-02-02,2018-02-04
Davis Cup Group Ii,2019,8097,2019-04-05,2019-04-06
Davis Cup Group Ii,2020,8097,2020-07-17,2020-07-18
Davis Cup Groups I And Ii,2019,8098,2019-09-13,2019-09-15
Davis Cup Groups I And Ii,2020,8098,2020-09-18,2020-09-19
Davis Cup Qualifiers,2019,8096,2019-02-01,2019-02-02
Davis Cup Qualifiers,2020,8096,2020-03-06,2020-03-07
Davis Cup Qualifiers,2023,8096,2023-02-03,2023-02-05
Davis Cup Qualifiers And Groups I &Amp; Ii Playoffs,2022,8096,2022-09-13,2022-09-18
Davis Cup Quarter-Finals,2015,8097,2015-07-17,2015-07-19
Davis Cup Quarter-Finals,2016,8097,2016-07-15,2016-07-17
Davis Cup Quarter-Finals,2017,8097,2017-04-07,2017-04-09
Davis Cup Quarter-Finals,2018,8097,2018-04-06,2018-04-08
Davis Cup Semi-Finals,2015,8098,2015-09-18,2015-09-20
Davis Cup Semi-Finals,2016,8098,2016-09-16,2016-09-18
Davis Cup Semi-Finals,2017,8098,2017-09-15,2017-09-17
Davis Cup Semi-Finals,2018,8098,2018-09-14,2018-09-16
Davis Cup World Group I,2022,8095,2022-09-16,2022-09-18
Davis Cup World Group Ii,2022,8098,2022-09-16,2022-09-18
Delray Beach,2001,499,2001-03-05,2001-03-11
Delray Beach,2002,499,2002-03-04,2002-03-10
Delray Beach,2003,499,2003-03-03,2003-03-09
Delray Beach,2004,499,2004-09-13,2004-09-19
Delray Beach,2005,499,2005-01-31,2005-02-06
Delray Beach,2006,499,2006-01-30,2006-02-05
Delray Beach,2007,499,2007-01-28,2007-02-04
Delray Beach,2008,499,2008-02-11,2008-02-17
Delray Beach,2009,499,2009-02-23,2009-03-01
Delray Beach,2010,499,2010-02-22,2010-02-28
Delray Beach,2011,499,2011-02-21,2011-02-27
Delray Beach,2012,499,2012-02-27,2012-03-04
Delray Beach,2013,499,2013-02-25,2013-03-03
Delray Beach,2014,499,2014-02-17,2014-02-23
Delray Beach,2015,499,2015-02-16,2015-02-22
Delray Beach,2016,499,2016-02-15,2016-02-21
Delray Beach,2017,499,2017-02-20,2017-02-26
Delray Beach,2018,499,2018-02-19,2018-02-25
Delray Beach,2019,499,2019-02-18,2019-02-24
Delray Beach,2020,499,2020-02-17,2020-02-23
Delray Beach,2021,499,2021-01-07,2021-01-13
Delray Beach,2022,499,2022-02-14,2022-02-20
Delray Beach,2023,499,2023-02-13,2023-02-19
Doha,2001,451,2001-12-31,2002-01-06
Doha,2001,451,2001-01-01,2001-01-07
Doha,2002,451,2002-12-30,2003-01-05
Doha,2004,451,2004-01-05,2004-01-11
Doha,2005,451,2005-01-03,2005-01-09
Doha,2006,451,2006-01-02,2006-01-08
Doha,2007,451,2007-12-31,2008-01-06
Doha,2007,451,2007-01-01,2007-01-07
Doha,2009,451,2009-01-05,2009-01-11
Doha,2010,451,2010-01-04,2010-01-09
Doha,2011,451,2011-01-03,2011-01-08
Doha,2012,451,2012-12-31,2013-01-05
Doha,2012,451,2012-01-02,2012-01-07
Doha,2013,451,2013-12-30,2014-01-04
Doha,2015,451,2015-01-05,2015-01-10
Doha,2016,451,2016-01-04,2016-01-10
Doha,2017,451,2017-01-02,2017-01-07
Doha,2018,451,2018-12-31,2019-01-05
Doha,2018,451,2018-01-01,2018-01-06
Doha,2020,451,2020-01-06,2020-01-11
Doha,2021,451,2021-03-08,2021-03-13
Doha,2022,451,2022-02-14,2022-02-19
Doha,2023,451,2023-02-20,2023-02-25
Dubai,2001,495,2001-02-26,2001-03-04
Dubai,2002,495,2002-02-25,2002-03-03
Dubai,2003,495,2003-02-24,2003-03-02
Dubai,2004,495,2004-03-01,2004-03-07
Dubai,2005,495,2005-02-21,2005-02-27
Dubai,2006,495,2006-02-27,2006-03-05
Dubai,2007,495,2007-02-26,2007-03-04
Dubai,2008,495,2008-03-03,2008-03-09
Dubai,2009,495,2009-02-23,2009-03-01
Dubai,2010,495,2010-02-22,2010-02-27
Dubai,2011,495,2011-02-21,2011-02-26
Dubai,2012,495,2012-02-27,2012-03-03
Dubai,2013,495,2013-02-25,2013-03-02
Dubai,2014,495,2014-02-24,2014-03-01
Dubai,2015,495,2015-02-23,2015-02-28
Dubai,2016,495,2016-02-22,2016-02-27
Dubai,2017,495,2017-02-27,2017-03-04
Dubai,2018,495,2018-02-26,2018-03-03
Dubai,2019,495,2019-02-25,2019-03-02
Dubai,2020,495,2020-02-24,2020-02-29
Dubai,2021,495,2021-03-14,2021-03-20
Dubai,2022,495,2022-02-21,2022-02-26
Dubai,2023,495,2023-02-27,2023-03-04
Dusseldorf,2013,6710,2013-05-19,2013-05-25
Dusseldorf,2014,6710,2014-05-18,2014-05-24
Eastbourne,2009,741,2009-06-14,2009-06-21
Eastbourne,2010,741,2010-06-13,2010-06-19
Eastbourne,2011,741,2011-06-12,2011-06-18
Eastbourne,2012,741,2012-06-18,2012-06-23
Eastbourne,2013,741,2013-06-17,2013-06-22
Eastbourne,2014,741,2014-06-16,2014-06-21
Eastbourne,2017,741,2017-06-26,2017-07-01
Eastbourne,2018,741,2018-06-25,2018-06-30
